ID,TITLE,EVENT_NAME,YEAR,DATE,DESCRIPTION,LONGITUDE,LATITUDE,SOURCE,PEOPLE,TAGS,IMG_SOURCE,,,API,https://www.digitalcommonwealth.org/api
1,Photo of Hotel Alexandra,,1899,,,71.0773,42.3365,,,,https://northeastern-my.sharepoint.com/personal/velloreumashankar_y_northeastern_edu/_layouts/15/onedrive.aspx?ct=1707756471593&or=OWA%2DNT&cid=37b334a7%2De9f9%2D55ca%2D967a%2D3005d9ac2b88&fromShare=true&ga=1&WSL=1&id=%2Fpersonal%2Fvelloreumashankar%5Fy%5Fnortheastern%5Fedu%2FDocuments%2FINAM5983%20Interdisciplinary%20Special%20Topics%20%2D%20Mass%20Ave%20Coalition%2FHistory%2FAlexandra%20History%2FAlexandra%20photo%201899%20at%20T%20stop%2Ejpg&parent=%2Fpersonal%2Fvelloreumashankar%5Fy%5Fnortheastern%5Fedu%2FDocuments%2FINAM5983%20Interdisciplinary%20Special%20Topics%20%2D%20Mass%20Ave%20Coalition%2FHistory%2FAlexandra%20History,,,,
2,Street Layout of Chester Square,,1952,,,71.07912875,42.33903806,Mass Ave Coalition,,,https://northeastern-my.sharepoint.com/:i:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/maps/streetLayout1952.jpg?csf=1&web=1&e=2hJ7eo,,,,
