ID,TITLE,EVENT_NAME,YEAR,DATE,DESCRIPTION,LOCATION_NAME,ADDRESS,LATITUDE,LONGITUDE,SOURCE_NAME,SOURCE_LINK,PEOPLE,TAGS,IMG_SOURCE
1,Photo of Hotel Alexandra,,1899,,This is a photo of Alexandra hotel that was taken in 1899.,Alexandra Hotel,"1767-1769 Washington Street, Boston, MA 02118","	42.3365",71.0773,Unknown,,,,https://northeastern-my.sharepoint.com/personal/velloreumashankar_y_northeastern_edu/_layouts/15/onedrive.aspx?ct=1707756471593&or=OWA%2DNT&cid=37b334a7%2De9f9%2D55ca%2D967a%2D3005d9ac2b88&fromShare=true&ga=1&WSL=1&id=%2Fpersonal%2Fvelloreumashankar%5Fy%5Fnortheastern%5Fedu%2FDocuments%2FINAM5983%20Interdisciplinary%20Special%20Topics%20%2D%20Mass%20Ave%20Coalition%2FHistory%2FAlexandra%20History%2FAlexandra%20photo%201899%20at%20T%20stop%2Ejpg&parent=%2Fpersonal%2Fvelloreumashankar%5Fy%5Fnortheastern%5Fedu%2FDocuments%2FINAM5983%20Interdisciplinary%20Special%20Topics%20%2D%20Mass%20Ave%20Coalition%2FHistory%2FAlexandra%20History
2,Street Layout of Chester Square,,1952,,This is a map of street layout of Chester Square created in 1950s.,Chester Square,"544P Massachusetts Ave, Boston, MA 02118",42.33846452,71.07900687,Mass Ave Coalition,,,,https://northeastern-my.sharepoint.com/:i:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/maps/streetLayout1952.jpg?csf=1&web=1&e=2hJ7eo
