ID,EVENT_NAME,YEAR,DATE,DESCRIPTION,LONGITUDE,LATITUDE,SOURCE,PEOPLE,TAGS,,,,,,
1,,,,,,,,,,,,,Atlascope,,https://www.atlascope.org/
2,,,,,,,,,,,,,,,
